module,run_id,n,seed,op,op_time_ms,memory_bytes,result,details
merkle,1,1000,43,build,12.385000,0,ok,"5de55cd7464312eb50c127c227d7d41a2ba15ebf9f09d4c19c4c8cb30eadd98e"
merkle,2,1000,44,build,12.302200,0,ok,"e35541a0d20d5fc6d105c5336d4c28f64809d8e2026fd4dab4f17e98da2efb63"
merkle,3,1000,45,build,12.676300,0,ok,"0c59a3b87fbcc1906682e4bd50b78229b163e67a041677012322ebc48df56799"
